ticker,predicted_growth_rate,feature,feature_value_scaled,shap_value,direction
AAPL,-32.628218489332745,net_income,2.5365491807885796,-9.001056589673752,decreases_prediction
AAPL,-32.628218489332745,operating_income,2.550409838710263,-7.767313987927351,decreases_prediction
AAPL,-32.628218489332745,operating_cashflow,2.255767368466528,-5.877802075435481,decreases_prediction
AAPL,-32.628218489332745,operating_margin,1.331429710119007,-4.388863126842809,decreases_prediction
AAPL,-32.628218489332745,profit_margin,1.348989354991709,-3.4211585822685766,decreases_prediction
AAPL,-32.628218489332745,total_liabilities,2.7469394299155323,3.2982032449691774,increases_prediction
AAPL,-32.628218489332745,total_assets,2.022257309464125,3.235141543999932,increases_prediction
AAPL,-32.628218489332745,revenue,1.386361635715549,-2.6684983186319227,decreases_prediction
AMZN,-47.514607861706494,net_income,5.221238331985839,-8.458581003829758,decreases_prediction
AMZN,-47.514607861706494,revenue,10.052911271947966,-6.395102790908649,decreases_prediction
AMZN,-47.514607861706494,operating_cashflow,6.957514204010622,-6.179278226164829,decreases_prediction
AMZN,-47.514607861706494,operating_income,4.3821635635507885,-5.726909028173275,decreases_prediction
AMZN,-47.514607861706494,total_assets,5.683435635329701,-5.370879311381664,decreases_prediction
AMZN,-47.514607861706494,total_liabilities,4.1793267743129165,-2.780724240106393,decreases_prediction
AMZN,-47.514607861706494,ticker_GOOGL,-0.7071067811865475,-2.734715311966788,decreases_prediction
AMZN,-47.514607861706494,asset_efficiency,0.8721808510115139,-2.132933086625083,decreases_prediction
GOOGL,-48.277147643814004,net_income,9.334345428386216,-10.342048357256703,decreases_prediction
GOOGL,-48.277147643814004,revenue,5.305684297760352,-10.306315271423,decreases_prediction
GOOGL,-48.277147643814004,operating_income,7.47613731208735,-10.130065807094946,decreases_prediction
GOOGL,-48.277147643814004,profit_margin,1.6952559936588392,-4.847231296735777,decreases_prediction
GOOGL,-48.277147643814004,asset_efficiency,0.4283156538063518,-3.3141090863562437,decreases_prediction
GOOGL,-48.277147643814004,ticker_AMZN,-0.7071067811865475,3.1579582451785555,increases_prediction
GOOGL,-48.277147643814004,operating_cashflow,8.341796278913655,-3.063652234755487,decreases_prediction
GOOGL,-48.277147643814004,operating_margin,1.0584143648636941,-2.329898415508607,decreases_prediction
