feature,importance,cumulative_importance,cumulative_importance_pct
operating_margin,0.7852415750292367,0.7852415750292367,78.52415750292366
debt_to_asset,0.13471449089070914,0.9199560659199459,91.99560659199457
id,0.057095373071138225,0.9770514389910842,97.70514389910839
net_income,0.006313227513256719,0.9833646665043408,98.33646665043406
revenue_growth,0.0030496414177775782,0.9864143079221184,98.64143079221182
total_liabilities,0.00263617178400514,0.9890504797061235,98.90504797061233
net_income_growth,0.0025759191839957846,0.9916263988901193,99.1626398890119
total_assets,0.002171884812814499,0.9937982837029338,99.37982837029335
asset_efficiency,0.002020529897873143,0.9958188136008069,99.58188136008067
operating_income,0.0017093576263984374,0.9975281712272054,99.75281712272051
revenue,0.0012869780304246676,0.99881514925763,99.88151492576299
operating_cashflow,0.0011848507423699887,1.0,99.99999999999997
