date,ticker,revenue,operating_income,net_income,operating_cashflow,total_assets,total_liabilities,profit_margin,operating_margin,revenue_growth,net_income_growth,asset_efficiency,debt_to_asset
2006-09-30,AAPL,19315000000.0,2453000000.0,1989000000.0,2220000000.0,17205000000.0,7221000000.0,10.29769609112089,12.69997411338338,,,1.1226387678000582,0.41970357454228424
2007-09-30,AAPL,24006000000.0,4409000000.0,3495000000.0,5470000000.0,25347000000.0,10815000000.0,14.558860284928768,18.36624177289011,24.286823712140816,75.71644042232278,0.9470943306900225,0.4266777133388567
2008-09-30,AAPL,32479000000.0,6275000000.0,4834000000.0,9596000000.0,39572000000.0,18542000000.0,14.883463160811603,19.32017611379661,35.29534283095892,38.31187410586552,0.8207571009804913,0.468563630850096
2009-09-30,AAPL,42905000000.0,11740000000.0,8235000000.0,10159000000.0,53851000000.0,26019000000.0,19.19356718331197,27.362778230975408,32.10074201791928,70.35581299131155,0.7967354366678427,0.48316651501364877
2010-09-30,AAPL,65225000000.0,18385000000.0,14013000000.0,18595000000.0,75183000000.0,27392000000.0,21.484093522422384,28.18704484476811,52.02190886843026,70.1639344262295,0.8675498450447574,0.36433768272082784
2011-09-30,AAPL,108249000000.0,33790000000.0,25922000000.0,37529000000.0,116371000000.0,39756000000.0,23.94664153941376,31.215068961376087,65.96243771559985,84.9853707271819,0.9302059791528817,0.34163150613125265
2012-09-30,AAPL,156508000000.0,55241000000.0,41733000000.0,50856000000.0,176064000000.0,57854000000.0,26.665090602397324,35.295959311984056,44.581474193756975,60.99452202762132,0.88892675390767,0.32859641948382406
2013-09-30,AAPL,170910000000.0,48999000000.0,37037000000.0,53666000000.0,207000000000.0,83451000000.0,21.670469837926394,28.669475162366158,9.20208551639532,-11.252486042220788,0.8256521739130435,0.4031449275362319
2014-09-30,AAPL,182795000000.0,52503000000.0,39510000000.0,59713000000.0,231839000000.0,120292000000.0,21.614376760852323,28.722339232473537,6.953952372593752,6.677106677106681,0.7884566444817308,0.5188600709975457
2015-09-30,AAPL,233715000000.0,71230000000.0,53394000000.0,81266000000.0,290479000000.0,171124000000.0,22.845773698735638,30.47729071732666,27.856341803659834,35.14047076689446,0.8045848409007191,0.5891097118896719
2016-09-30,AAPL,215639000000.0,60024000000.0,45687000000.0,65824000000.0,321686000000.0,193437000000.0,21.1867983064288,27.835410106706114,-7.734206191301373,-14.434206090571976,0.670340021014281,0.6013224075651412
2017-09-30,AAPL,229234000000.0,61344000000.0,48351000000.0,63598000000.0,375319000000.0,241272000000.0,21.09242084507534,26.76042820872994,6.304518199398057,5.830980366406191,0.6107711040474902,0.6428451530564666
2018-09-30,AAPL,265595000000.0,70898000000.0,59531000000.0,77434000000.0,365725000000.0,258578000000.0,22.414202074587248,26.694026619477025,15.861957650261305,23.122582780087274,0.7262150522933899,0.7070285050242668
2019-09-30,AAPL,260174000000.0,63930000000.0,55256000000.0,69391000000.0,338516000000.0,248028000000.0,21.238094505984456,24.57201718849693,-2.04107758052674,-7.18113251919168,0.7685722388306608,0.7326921031797611
2020-09-30,AAPL,274515000000.0,66288000000.0,57411000000.0,80674000000.0,323888000000.0,258549000000.0,20.913611278072235,24.147314354406863,5.512080376978479,3.9000289561314627,0.8475615027416885,0.7982666847799239
2021-09-30,AAPL,365817000000.0,108949000000.0,94680000000.0,104038000000.0,351002000000.0,287912000000.0,25.88179335569424,29.782377527561593,33.259384733074704,64.9161310550243,1.042207736708053,0.8202574344305731
2022-09-30,AAPL,394328000000.0,119437000000.0,99803000000.0,122151000000.0,352755000000.0,302083000000.0,25.309640705199733,30.288744395528592,7.79378760418461,5.410857625686516,1.1178523337727317,0.8563535598361469
2023-09-30,AAPL,383285000000.0,114301000000.0,96995000000.0,110543000000.0,352583000000.0,290437000000.0,25.30623426432028,29.821412265024723,-2.800460530319937,-2.813542679077785,1.087077369016657,0.8237407929480435
2024-09-30,AAPL,391035000000.0,123216000000.0,93736000000.0,118254000000.0,364980000000.0,308030000000.0,23.971255769943866,31.510222870075566,2.021994077514111,-3.3599670086086886,1.0713874732862074,0.8439640528248123
2025-09-30,AAPL,416161000000.0,133050000000.0,112010000000.0,111482000000.0,359241000000.0,285508000000.0,26.91506412181824,31.970799762591884,6.425511782832749,19.49517794657336,1.1584451663368045,0.7947533828265705
2006-12-31,GOOGL,10604917000.0,3549996000.0,3077446000.0,3580508000.0,18473351000.0,1433511000.0,29.019048428196093,33.475000322963396,,,0.5740656906264597,0.0775988611919949
2007-12-31,GOOGL,16593986000.0,5084400000.0,4203720000.0,5775410000.0,25335806000.0,2646127000.0,25.33279225377194,30.640016208281722,56.47445425551185,36.59768522339628,0.6549618354355887,0.1044421874717544
2008-12-31,GOOGL,21796000000.0,6632000000.0,4227000000.0,7852857000.0,31767575000.0,3528713000.0,19.393466691135988,30.42760139475133,31.348791062014868,0.5537952099568866,0.6861083982645827,0.1110790798479267
2009-12-31,GOOGL,23651000000.0,8312000000.0,6520000000.0,9316198000.0,40496778000.0,4492554000.0,27.56754471269714,35.144391357659295,8.510735914846768,54.24651052756091,0.5840217708184093,0.11093608484111996
2010-12-31,GOOGL,29321000000.0,10381000000.0,8505000000.0,11081000000.0,57851000000.0,11610000000.0,29.006514102520377,35.40465877698578,23.973616337575578,30.444785276073617,0.5068365283227602,0.2006879742787506
2011-12-31,GOOGL,37905000000.0,11742000000.0,9737000000.0,14565000000.0,72574000000.0,14429000000.0,25.687903970452446,30.977443609022558,29.27594556802291,14.485596707818926,0.522294485628462,0.19881775842588253
2012-12-31,GOOGL,46039000000.0,13834000000.0,10737000000.0,16619000000.0,93798000000.0,22083000000.0,23.321531744825037,30.048437194552445,21.458910433979696,10.270103728047664,0.49083136100982966,0.2354314590929444
2013-12-31,GOOGL,55519000000.0,15403000000.0,12733000000.0,18659000000.0,110920000000.0,23611000000.0,22.934490895008917,27.743655325203985,20.59123786355046,18.589922697215243,0.500531914893617,0.21286512802019472
2014-12-31,GOOGL,66001000000.0,16496000000.0,14136000000.0,22376000000.0,131133000000.0,26633000000.0,21.417857305192346,24.993560703625704,18.88002305517029,11.018613052697713,0.5033134298765376,0.2030991436175486
2015-12-31,GOOGL,74989000000.0,19360000000.0,16348000000.0,26024000000.0,147461000000.0,27130000000.0,21.800530744509196,25.817119844243823,13.617975485219924,15.647990945104695,0.5085344599589043,0.18398084917367982
2016-12-31,GOOGL,90272000000.0,23716000000.0,19478000000.0,36036000000.0,167497000000.0,28461000000.0,21.57701169797944,26.271712158808935,20.380322447292265,19.14607291411794,0.5389469662143203,0.16991946124408197
2017-12-31,GOOGL,110855000000.0,26178000000.0,12662000000.0,37091000000.0,197295000000.0,44793000000.0,11.422128005051645,23.614631726128728,22.801090038993266,-34.99332580347059,0.5618743505917535,0.2270356572645024
2018-12-31,GOOGL,136819000000.0,27524000000.0,30736000000.0,47971000000.0,232792000000.0,55164000000.0,22.464716157843576,20.117089000796675,23.421586757475986,142.74206286526615,0.5877306780301729,0.2369669060792467
2019-12-31,GOOGL,161857000000.0,34231000000.0,34343000000.0,54520000000.0,275909000000.0,74467000000.0,21.21811228430034,21.14891540063142,18.300089899794614,11.735424258198845,0.5866318242608977,0.26989695877988756
2020-12-31,GOOGL,182527000000.0,41224000000.0,40269000000.0,65124000000.0,319616000000.0,97072000000.0,22.061941520980458,22.585151785763202,12.770532012826141,17.255335876306678,0.57108217360833,0.3037144573488186
2021-12-31,GOOGL,257637000000.0,78714000000.0,76033000000.0,91652000000.0,359268000000.0,107633000000.0,29.511677282377917,30.55228868524319,41.15007642704916,88.81273436141946,0.7171164701559838,0.2995897213222441
2022-12-31,GOOGL,282836000000.0,74842000000.0,59972000000.0,91495000000.0,365264000000.0,109120000000.0,21.203807153261963,26.46127084246701,9.78081564371578,-21.12372259413675,0.7743330851110429,0.29874282710587413
2023-12-31,GOOGL,307394000000.0,84293000000.0,73795000000.0,101746000000.0,402392000000.0,119013000000.0,24.006649446638516,27.421810445226647,8.68277022726951,23.049089575135074,0.7639167776695361,0.29576383228294795
2024-12-31,GOOGL,350018000000.0,112390000000.0,100118000000.0,125299000000.0,450256000000.0,125172000000.0,28.603671811164,32.1097772114577,13.86624332290156,35.67043837658377,0.7773755374720159,0.27800184783767456
2025-12-31,GOOGL,402963000000.0,129166000000.0,132170000000.0,164713000000.0,595281000000.0,180016000000.0,32.799537426513105,32.05405955385482,15.126364929803614,32.01422321660441,0.6769290469542956,0.3024050826416432
2006-06-30,MSFT,44282000000.0,16472000000.0,12599000000.0,14404000000.0,69597000000.0,29493000000.0,28.451741113770833,37.19795853845807,,,0.6362630573156889,0.423768265873529
2007-06-30,MSFT,51122000000.0,18438000000.0,14065000000.0,17796000000.0,63171000000.0,32074000000.0,27.51261687727397,36.06666405852666,15.446456799602547,11.63584411461227,0.8092637444396954,0.5077329787402447
2008-06-30,MSFT,60420000000.0,22271000000.0,17681000000.0,21612000000.0,72793000000.0,36507000000.0,29.263488910956635,36.860311155246606,18.187864324556948,25.709207252044088,0.8300248650282307,0.5015180031046942
2009-06-30,MSFT,58437000000.0,20363000000.0,14569000000.0,19037000000.0,77888000000.0,38330000000.0,24.931122405325393,34.8460735492924,-3.282025819265144,-17.600814433572765,0.7502696179129006,0.4921168857847165
2010-06-30,MSFT,62484000000.0,24098000000.0,18760000000.0,24073000000.0,86113000000.0,39938000000.0,30.023686063632287,38.566673068305484,6.925406848400839,28.766559132404424,0.7256047286704679,0.46378595566290803
2011-06-30,MSFT,69943000000.0,27161000000.0,23150000000.0,26994000000.0,108704000000.0,51621000000.0,33.09838010951775,38.83304976909769,11.937455988733126,23.40085287846483,0.643426184869002,0.4748767294671769
2012-06-30,MSFT,73723000000.0,21763000000.0,16978000000.0,31626000000.0,121271000000.0,54908000000.0,23.02944806912361,29.51995984970769,5.404400726305703,-26.6609071274298,0.6079194531256442,0.45277106645446974
2013-06-30,MSFT,77849000000.0,26764000000.0,21863000000.0,28833000000.0,142431000000.0,63487000000.0,28.08385464167812,34.37937545761667,5.596625205159844,28.77252915537756,0.5465734285373268,0.4457386383582226
2014-06-30,MSFT,86833000000.0,27759000000.0,22074000000.0,32502000000.0,172384000000.0,82600000000.0,25.42121082998399,31.968260914629234,11.540289534868787,0.9651008553263507,0.5037184425468721,0.4791627993317245
2015-06-30,MSFT,93580000000.0,18161000000.0,12193000000.0,29668000000.0,174472000000.0,94389000000.0,13.029493481513143,19.406924556529173,7.7700874091647165,-44.763069674730446,0.5363611353111101,0.5409979824842954
2016-06-30,MSFT,91154000000.0,26078000000.0,20539000000.0,33325000000.0,193694000000.0,121697000000.0,22.532198257893235,28.608728086534875,-2.5924342808292367,68.44911014516526,0.47060827903807034,0.6282951459518622
2017-06-30,MSFT,96571000000.0,29025000000.0,25489000000.0,39507000000.0,241086000000.0,168692000000.0,26.394052044609666,30.055606755651283,5.942690392083727,24.100491747407382,0.4005666027890462,0.6997171133952199
2018-06-30,MSFT,110360000000.0,35058000000.0,16571000000.0,43884000000.0,258848000000.0,176130000000.0,15.01540413193186,31.766944545125046,14.278613662486661,-34.98764172780415,0.4263505995796761,0.6804379404129064
2019-06-30,MSFT,125843000000.0,42959000000.0,39240000000.0,52185000000.0,286556000000.0,184226000000.0,31.181710544090652,34.13698020549415,14.029539688292857,136.79922756623014,0.43915674423149403,0.6428970253632798
2020-06-30,MSFT,143015000000.0,52959000000.0,44281000000.0,60675000000.0,301311000000.0,183007000000.0,30.962486452470024,37.03038142852149,13.645574247276372,12.846585117227317,0.4746424790332912,0.6073691302342098
2021-06-30,MSFT,168088000000.0,69916000000.0,61271000000.0,76740000000.0,333779000000.0,191791000000.0,36.451739564989765,41.5948788729713,17.5317274411775,38.36860052844335,0.5035906992351227,0.5746047534446445
2022-06-30,MSFT,198270000000.0,83383000000.0,72738000000.0,89035000000.0,364840000000.0,198298000000.0,36.68633681343622,42.05527815604983,17.956070629670172,18.71521600757291,0.5434437013485364,0.5435204473193729
2023-06-30,MSFT,211915000000.0,88523000000.0,72361000000.0,87582000000.0,411976000000.0,205753000000.0,34.14623787839464,41.7728806361041,6.8820295556564215,-0.5182985509637361,0.5143867603938094,0.499429578422044
2024-06-30,MSFT,245122000000.0,109433000000.0,88136000000.0,118548000000.0,512163000000.0,243686000000.0,35.955972944084984,44.64429957327371,15.66996201307127,21.800417351888445,0.47860153896318164,0.47579774407756903
2025-06-30,MSFT,281724000000.0,128528000000.0,101832000000.0,136162000000.0,619003000000.0,275524000000.0,36.146015248967075,45.62195624085985,14.932156232406712,15.539620586366532,0.4551254194244616,0.44510931287893596
